386	2277	3	19.26
447	971	3	16.14
321	111	14	7.54
304	3381	3	21.12
117	229	22	19.37
471	295	5	16.78
1166	2442	3	28.9
101	113	251	9.84
306	57	12	13.71
201	138	13	8.89
592	198	5	13.72
411	559	3	10.25
1374	163	3	8.43
101	184	90	16.08
2473	123	3	7.66
3523	8	3	9.42
101	227	71	17.16
272	293	6	13.01
103	3561	4	8.9
337	709	13	92.51
109	1719	5	9.66
132	1033	4	7.09
565	103	22	30.53
1098	110	8	12.99
370	171	5	6.68
101	5019	4	7.55
16	223	12	7.72
16	291	9	7.83
678	133	5	6.82
328	132	24	69.09
57	1198	4	7.58
658	118	6	7.24
494	153	7	16.8
192	1551	3	10.86
826	199	7	27.83
187	155	10	8.25
150	212	10	8.11
1877	105	8	18.62
3411	147	3	14.14
3066	105	4	8.27
840	106	8	7.15
164	725	5	12.74
178	108	35	10.39
438	3285	3	23.21
137	140	46	70.18
6276	159	3	23.16
1285	190	3	9.16
157	155	10	7.91
719	357	3	11.57
102	2948	6	9.9
9	2203	7	28.19
279	282	5	8.94
187	1370	3	11.62
429	448	3	9.28
579	1396	3	18.59
276	843	5	21.35
174	557	4	7.09
961	57	5	9.7
131	1835	3	6.92
1188	115	10	32.04
4896	109	3	12.58
435	169	6	12.06
166	1434	3	9.48
2913	2520	3	35.55
102	320	32	7.55
1789	302	3	16.27
434	977	3	14.17
136	1186	4	9.96
2179	57	3	9.88
102	152	111	36.07
890	925	9	87.18
6250	102	3	7.48
126	184	17	9.43
1571	123	4	7.94
102	203	66	12.8
414	102	26	8.45
174	304	7	12.08
110	3216	4	11.02
214	349	5	9.43
895	113	7	13.53
3443	9	3	9.58
1594	9	4	7.96
512	205	6	16.55
8	892	9	18.9
156	1470	3	8.36
101	1247	14	13.55
166	1177	3	8.38
102	6718	3	7.48
677	12	28	14.46
414	498	3	10.04
102	573	20	8
13	8	14	20.14
236	1157	3	10.05
161	162	13	11.75
466	133	8	13.14
529	1976	3	20.75
2416	2	3	6.95
395	7	4	9.36
814	101	19	12.49
1424	246	3	12.23
125	367	12	16.07
379	2597	3	20.32
163	132	35	56.83
198	166	9	9.63
831	192	3	6.74
16	1133	4	8.53
759	7	4	15.83
115	915	6	9.67
1351	173	6	27.39
192	587	4	7.97
517	294	3	6.82
221	1027	3	9.15
111	1330	9	23.8
269	316	4	6.66
298	443	4	11.4
103	3152	4	6.68
110	6758	3	13.67
119	396	33	115.15
1165	168	3	8.17
463	103	18	10.66
714	346	3	11.21
2312	655	4	34.41
494	456	4	16.26
9	3154	3	8.14
129	325	9	8.23
268	124	12	7.17
17	153	12	33.4
163	1542	3	9.24
12	843	22	11.19
4226	1	3	20.03
922	167	3	6.74
1227	139	4	9.85
131	744	5	7.27
127	2061	4	12.12
513	225	5	13.82
591	689	3	13.97
107	145	91	72.39
1324	152	3	7.69
123	927	5	7.77
295	616	6	25.49
582	296	3	7.9
983	4942	3	33.95
107	313	56	136.64
102	1266	10	6.65
201	440	4	6.7
21	453	8	10.42
9	2022	4	10.86
105	4948	3	7.27
153	1622	4	15.2
1097	154	3	7.53
2571	113	3	7.36
2720	16	5	25
476	591	9	58.24
2700	115	4	13.09
101	4388	4	7.55
6	17	3	12.88
220	347	5	8.49
226	273	6	9.28
110	12	630	27.29
199	1155	3	9.09
1507	139	3	7.26
2550	115	3	6.75
425	1858	4	29.15
1992	126	3	6.98
2104	102	7	7.28
715	263	6	25.06
725	412	4	18.07
111	2244	4	8.27
1478	237	3	11.79
286	394	4	9.24
101	988	15	9.11
258	351	4	7.22
3195	101	6	11.32
212	121	24	30.64
740	108	10	9.05
4237	105	3	7.27
2363	1808	3	29.73
106	346	18	9.25
683	425	3	12.41
2000	405	3	19.02
104	4806	3	7.02
2361	2	4	10.82
12	199	110	14.42
604	168	5	11.65
185	1529	3	10.53
107	1920	5	6.72
9	106	114	7.49
2657	146	4	18.44
400	383	3	8.44
153	345	6	8.09
1572	188	3	10.39
1320	103	10	15.05
180	893	3	7.09
415	146	6	9.79
5533	103	3	10.12
344	328	4	9.84
486	242	5	16.04
103	305	48	70.99
16	1641	4	11.18
102	2248	7	9.28
803	604	3	15.17
124	268	12	7.17
920	58	6	11.38
124	193	21	15.18
2022	9	4	10.86
146	1118	4	10.54
1985	1995	3	31.87
4452	8	3	11.51
606	128	6	7.96
146	1176	5	16.07
758	352	5	24.6
652	236	3	6.71
359	618	3	9.7
3355	9	3	8.14
138	12	219	15.88
1997	8	4	8.57
815	315	3	11.82
535	397	3	10.81
2558	120	3	7.2
4486	102	4	9.98
177	577	5	11.94
802	263	3	9.08
140	987	4	7.97
419	315	5	18.4
109	438	14	7.43
359	991	3	13.39
132	1282	4	8.69
977	231	3	9.26
1260	9	5	9.76
2784	113	3	8.27
340	9	11	7.44
1438	517	3	18.53
1053	123	8	21.65
103	2710	6	20.25
518	16	6	7.39
3007	103	4	8.9
2419	504	3	22.66
173	153	14	16.68
638	108	12	10.87
123	1571	4	7.94
153	101	112	16.57
9	486	9	7.37
121	269	12	9.31
400	339	3	7.36
162	147	12	7.32
2322	133	3	8.63
3567	168	3	17.17
3920	101	5	9.44
458	230	4	8.54
153	1367	4	13.38
115	3875	3	10.22
472	443	3	9.74
498	1089	3	16.14
893	2	6	9.08
403	166	12	38.42
123	101	252	19.08
662	119	10	20.88
3153	106	4	9.27
127	1346	4	9.79
348	413	3	7.2
331	289	4	8.17
438	185	6	13.4
471	801	3	13.77
131	492	7	8.26
360	761	3	11.55
189	1499	5	25.06
3098	12	6	7.46
4457	102	4	9.98
101	2469	8	15.1
1530	152	3	8.49
114	126	44	6.65
923	225	4	14.58
4694	279	3	23.3
128	107	79	7.28
1670	469	3	19.8
900	193	3	7.59
4106	4105	4	70.59
267	136	14	26.57
679	545	5	27.48
104	196	39	8.55
110	17	14	7.4
309	225	5	8.53
304	1419	3	15.01
327	428	4	11.79
5883	102	3	7.48
117	787	9	17.31
628	152	5	10.01
795	109	9	8.68
305	381	4	10.12
147	1032	4	10.53
235	462	4	8.35
904	370	3	12.44
114	3100	5	22.02
367	120	13	15.05
423	109	16	10.24
2836	150	3	12.97
185	498	5	11.57
123	141	28	10.48
21	662	6	9.63
458	277	5	15.34
423	236	4	7.35
3575	2134	3	39.59
230	283	5	7.41
101	630	25	13.75
255	1029	4	16.62
225	629	3	6.65
106	2957	4	7.62
132	423	7	7.31
4771	101	4	7.55
132	474	7	8.98
1680	110	5	7.19
169	103	90	83.68
147	2369	4	18.87
120	461	8	6.85
464	248	4	10.21
639	436	3	12.15
101	4480	4	7.55
1937	122	5	14.87
464	166	5	10.39
146	153	30	58.36
1242	106	7	10.11
182	101	101	29.5
690	129	5	6.86
138	571	6	9.15
490	146	5	6.97
419	14	52	6.75
690	201	4	10.56
183	931	3	7.68
413	529	3	9.84
103	2759	5	9.32
110	1332	6	8.34
398	2080	4	27.67
109	423	16	10.24
158	409	6	10
4153	5176	3	50.17
358	180	5	7.47
274	2019	6	42.49
124	429	10	12.92
535	348	4	15.13
172	1352	3	8.96
2458	316	4	27.9
119	3220	3	9.44
174	1018	3	7.79
58	1100	8	24.07
117	2057	4	9.53
1398	200	3	10.7
1578	208	3	10.96
189	131	16	9.58
444	156	6	10.39
330	12	51	11.97
2609	125	3	8.32
2364	538	3	21.95
444	111	11	7.65
2469	115	3	6.75
428	327	4	11.79
6718	468	3	32.49
567	338	3	9.53
102	6824	3	7.48
1652	165	3	10.27
9	577	8	8.29
952	169	3	7.02
252	1190	3	11.49
131	1479	4	9.05
103	154	98	85.21
3702	113	3	10.87
1264	131	5	12.33
195	12	124	47.36
873	123	5	6.65
103	205	68	61.57
4968	113	3	12.99
573	236	4	9.88
253	259	7	14.53
6518	102	3	7.48
263	484	4	9.81
179	134	28	42.3
217	123	18	12.98
253	141	9	8.23
1133	102	14	18.58
109	122	92	11.85
792	129	5	7.73
109	6294	3	12.58
106	6153	3	12.26
736	214	4	11.58
500	114	11	13.8
178	1011	7	38.49
375	403	3	7.16
101	3452	5	9.44
2	2416	3	6.95
231	153	8	7.21
920	192	3	7.19
313	101	47	12.88
209	420	4	6.66
1201	432	4	22.99
132	289	11	11.29
125	1664	6	19.61
110	318	15	6.77
132	122	35	10.1
2834	1857	3	33.47
110	142	44	6.73
493	202	5	11.33
116	1881	4	10.38
158	1508	3	8.78
771	214	3	7.62
882	112	7	9.57
380	479	6	28.72
