183	8309	8
108	272	10
937	4684	1
8	715	18
297	2369	16
12	4772	12
2963	7398	4
117	9596	8
2195	2612	0
23036	9640	7
2868	4005	9
8522	3164	4
17692	2955	14
496	2186	0
397	5715	7
309	9050	4
616	8438	14
525	5689	14
4574	2963	25
4397	7425	6
3167	667	1
440	7167	13
102	5779	20
1686	8290	6
256	4794	4
20769	259	16
22294	2068	3
14672	8795	22
2081	8089	20
6313	1030	6
161	5705	14
178	8778	18
144	8216	14
26320	1757	20
129	7454	8
14	3106	7
154	3221	5
108	6855	2
688	1817	6
1433	1436	18
282	3443	17
752	8096	13
12785	9056	4
241	6351	0
102	2014	18
457	3122	0
139	492	13
22875	939	11
317	8669	26
1309	3925	6
1343	7785	9
14	4074	18
162	6796	12
14	2660	8
4499	6088	3
14625	3258	7
104	865	18
9	3009	16
169	825	17
101	186	10
6087	598	12
112	9515	9
12	9209	4
124	7155	1
101	2079	17
6186	7378	11
120	6008	1
16051	3247	5
13839	8884	1
2002	9638	1
103	322	3
208	7287	0
121	8254	9
3147	7980	12
101	2657	15
111	4854	5
1388	9329	8
953	7462	11
14	4594	11
7538	337	9
109	4401	25
263	9211	7
12	1325	19
581	4324	31
160	8069	7
692	8328	20
102	6696	11
15279	8794	20
1056	2039	2
365	8914	14
19602	4836	7
12	9452	8
122	5753	4
3627	7888	10
4001	8768	14
1905	1979	9
12	1354	13
2023	3557	0
2738	235	4
122	3922	4
126	6428	8
101	5039	7
11450	5341	0
107	2692	8
501	9223	8
124	1420	6
26226	3112	6
470	8613	20
308	4061	32
195	9069	14
121	4144	2
113	8738	1
334	6892	7
105	5603	6
355	7854	24
304	527	3
119	2334	5
102	381	21
305	9976	5
703	1183	18
14	9025	3
110	5959	9
1233	4723	4
416	4102	13
13608	2916	19
894	3443	0
150	1004	1
14	5798	12
272	6896	7
109	5733	30
149	8367	15
8269	4777	2
131	4226	7
10454	5871	26
14	5099	11
476	5053	22
23068	5938	10
989	5326	16
228	4021	3
1408	3222	24
4549	6846	14
104	1281	8
836	1282	5
428	5701	20
10272	5598	4
14	8329	22
1134	7048	21
3681	5913	8
135	5765	12
396	7109	6
102	7005	29
2616	5991	20
106	4285	3
20721	7848	2
14758	4277	4
14	6841	16
21	7800	16
1579	2214	17
457	9377	0
501	8704	12
379	6887	15
1455	7142	12
471	1755	12
12	8168	19
4760	9567	7
4809	728	16
176	6821	14
1013	7910	5
8045	129	7
108	3294	3
132	4171	27
108	2321	18
20326	624	25
12	780	2
182	1919	3
6761	2019	23
12	8042	5
2636	1578	12
12	5900	3
10144	5137	4
133	7963	3
6708	9033	32
104	8609	16
110	4363	23
582	7165	29
104	7265	18
15842	3134	14
584	8459	1
1655	5471	17
101	8187	1
14	4330	18
17083	8213	7
127	1697	8
101	6708	16
116	7997	5
477	4334	6
417	9351	6
112	2563	23
2125	9083	12
13564	1635	0
5975	9020	5
1153	251	2
799	1766	24
133	1159	17
12	1672	9
1641	4827	10
2994	8486	4
380	856	12
3524	2703	24
21700	7579	14
13790	7008	12
12	4744	8
101	1133	2
12	6020	4
14	6898	10
9645	4185	6
190	5289	0
581	9130	6
203	6425	10
3809	5663	4
134	2548	24
101	9675	7
116	7426	16
26591	8104	23
219	7312	1
4803	4706	6
5051	8282	10
2411	263	6
105	6039	9
102	1734	11
2819	7409	10
12	1474	10
1799	2585	13
1160	9408	1
124	5128	12
10673	3016	6
106	3557	8
1938	4542	10
104	7444	4
15951	2079	5
1303	4579	2
212	6008	7
3849	8322	5
607	425	9
5057	6562	8
8800	2008	8
12	4926	3
364	4776	9
489	4899	5
3972	1967	8
10278	8134	12
260	980	0
6692	8179	16
9003	3637	9
766	7816	8
12	9945	12
177	9035	8
144	1068	36
117	1344	2
4826	4084	31
286	1869	3
862	6962	11
20183	3229	25
6798	7217	18
1122	3067	1
150	4712	11
16069	8694	18
12	7701	2
154	602	21
14	1891	13
24320	7546	10
188	2620	6
9101	3281	15
119	3291	5
108	1479	2
105	8297	6
3026	9006	1
197	4041	9
14	4868	18
103	2896	10
13410	2715	24
2328	511	12
179	1785	8
14	7916	14
167	395	4
2875	4120	6
14	2607	18
1248	6626	17
942	1616	20
101	3416	7
718	8701	12
118	7015	13
906	4993	22
164	7240	5
5561	9966	18
8	3297	10
114	7530	7
266	9893	3
109	6884	33
14	9310	30
111	3031	20
201	2437	8
1842	5701	1
1424	1578	2
104	7665	12
1672	1189	7
528	4331	2
106	6400	1
233	9093	9
706	2239	7
541	2678	13
366	1293	2
113	8142	7
20773	1719	8
12	3595	7
226	9757	8
224	8940	5
591	5865	5
565	1126	9
9060	1242	12
26599	4125	8
25411	1582	15
9	9905	5
3286	67	3
12	8903	8
9028	8387	9
134	4280	6
2637	5550	5
186	2519	1
103	7146	12
12	865	13
108	8445	21
14	8089	24
116	2470	18
123	955	2
6852	494	20
108	2818	3
2332	3809	22
293	7984	8
755	787	2
1472	1791	15
15766	1513	0
3369	4686	18
436	4382	10
916	3839	16
120	9232	13
2079	6183	13
5861	9328	12
14	5379	22
26471	3447	18
102	2750	9
406	6983	8
6733	9927	5
158	408	6
233	3059	1
122	4847	7
587	1478	9
782	2431	11
14	5659	12
5487	9132	8
107	1518	1
3922	356	4
198	8117	10
14	539	13
12	3949	3
105	1232	29
14	4018	26
438	6741	2
254	7802	1
105	4178	10
14	4950	11
4302	7064	5
4757	7480	12
111	287	3
19333	3825	4
14	9086	21
3085	2512	1
217	8746	0
103	6861	3
110	7520	7
20847	9484	1
732	4442	4
172	6382	8
1651	4271	9
1863	1791	9
109	2114	17
21156	3069	5
22323	776	4
416	3054	19
128	9754	19
25720	2630	1
393	7256	18
1375	5209	8
14	4392	21
22130	8358	22
101	542	10
142	6718	2
122	5765	15
312	8795	13
4922	3478	3
19627	2075	11
2458	3513	27
1745	5189	4
3049	1394	0
446	8313	15
3021	4124	28
1231	8054	7
222	7429	7
159	5652	1
4251	4667	6
1389	2638	6
4543	594	17
1174	1522	0
19490	5271	7
5228	644	19
2354	4024	22
148	7288	2
103	9143	6
132	3155	1
57	9178	11
1478	9911	7
149	8612	4
111	232	3
1655	8882	12
15013	6718	17
6295	5781	1
103	9915	10
556	9592	23
241	6763	0
113	8596	9
12282	5838	13
12	8086	14
110	8535	5
6895	6598	5
101	8718	4
106	5388	15
7062	7334	19
129	1068	11
3131	7424	10
3503	704	3
4773	9596	4
9181	2097	20
16911	7824	20
166	1725	5
105	662	18
237	5881	12
108	1785	13
14	6203	5
810	2328	3
542	9592	6
6835	7719	25
118	7444	5
6442	804	3
9	7287	25
104	6526	12
5540	1699	0
101	6821	20
375	9279	8
2521	9691	12
101	8939	12
9	8694	16
7712	9181	0
892	8213	0
13927	1334	0
24329	7236	9
110	8561	16
278	7213	18
2863	2935	25
120	3928	10
201	4023	11
268	3746	0
5793	4053	24
14	6690	5
145	865	17
1562	4400	33
6028	2106	3
12	8883	4
4215	518	8
3081	5465	0
8815	8385	18
206	1043	7
22679	1634	5
2353	8127	16
22290	1840	7
101	5883	3
120	9619	1
12	4370	4
4018	7986	6
2	8060	0
126	6598	22
5816	5216	5
4442	6687	2
8862	8070	5
2875	4752	2
58	8102	0
156	5858	4
2094	4696	27
2997	8032	14
491	9052	5
102	4756	19
309	7468	14
14	2215	22
11156	7446	11
2459	8459	9
116	7398	2
126	9013	13
123	4916	3
2058	1459	4
1	3927	7
